model,fold,base_value
xgboost,0,0.05882382020354271
logistic,0,-0.004821997585569329
xgboost,1,0.052711572498083115
logistic,1,0.005156363315492225
xgboost,2,0.05294058844447136
logistic,2,0.015929168671621474
xgboost,3,0.059552934020757675
logistic,3,0.017246238749189242
xgboost,4,0.060322970151901245
logistic,4,0.023370664931184986
xgboost,5,0.06417259573936462
logistic,5,-0.014949602046500095
xgboost,6,0.07010611891746521
logistic,6,-0.004745548278931511
xgboost,7,0.0713672861456871
logistic,7,0.00682878709878616
