model,rule,coverage,accuracy
xgboost,confidence,0.1,0.49109947643979057
xgboost,confidence,0.2,0.5052356020942408
xgboost,confidence,0.3,0.5024441340782123
xgboost,confidence,0.4,0.5079863838701231
xgboost,confidence,0.5,0.5052366987850859
xgboost,confidence,0.6,0.5000872752661896
xgboost,confidence,0.7,0.5016457211250748
xgboost,confidence,0.8,0.5069389892642053
xgboost,confidence,0.9,0.5061096241126498
xgboost,confidence,1.0,0.505969836614998
xgboost,consistency,0.1,0.5026178010471204
xgboost,consistency,0.2,0.5047120418848168
xgboost,consistency,0.3,0.5
xgboost,consistency,0.4,0.5001309243257397
xgboost,consistency,0.5,0.4976958525345622
xgboost,consistency,0.6,0.4993890731366731
xgboost,consistency,0.7,0.49655894673847994
xgboost,consistency,0.8,0.49803613511390415
xgboost,consistency,0.9,0.5022692889561271
xgboost,consistency,1.0,0.505969836614998
xgboost,combined,0.1,0.4942408376963351
xgboost,combined,0.2,0.5005235602094241
xgboost,combined,0.3,0.49406424581005587
xgboost,combined,0.4,0.4927991620843153
xgboost,combined,0.5,0.49602010892333476
xgboost,combined,0.6,0.5013091289928434
xgboost,combined,0.7,0.5004488330341114
xgboost,combined,0.8,0.500916470280178
xgboost,combined,0.9,0.5032002792971023
xgboost,combined,1.0,0.505969836614998
logistic,confidence,0.1,0.5036649214659686
logistic,confidence,0.2,0.5089005235602094
logistic,confidence,0.3,0.5069832402234636
logistic,confidence,0.4,0.5022257135375753
logistic,confidence,0.5,0.5004189359028068
logistic,confidence,0.6,0.500610926863327
logistic,confidence,0.7,0.49985038898862955
logistic,confidence,0.8,0.5035349567949725
logistic,confidence,0.9,0.503549400674968
logistic,confidence,1.0,0.5024088814411395
logistic,consistency,0.1,0.5193717277486911
logistic,consistency,0.2,0.518848167539267
logistic,consistency,0.3,0.5195530726256983
logistic,consistency,0.4,0.5134852055511914
logistic,consistency,0.5,0.5050272308336824
logistic,consistency,0.6,0.5035782859137721
logistic,consistency,0.7,0.5070317175344106
logistic,consistency,0.8,0.5048442000523697
logistic,consistency,0.9,0.5018037937856394
logistic,consistency,1.0,0.5024088814411395
logistic,combined,0.1,0.5340314136125655
logistic,combined,0.2,0.5235602094240838
logistic,combined,0.3,0.5212988826815642
logistic,combined,0.4,0.5074626865671642
logistic,combined,0.5,0.50670297444491
logistic,combined,0.6,0.5044510385756676
logistic,combined,0.7,0.5044883303411131
logistic,combined,0.8,0.5051060487038491
logistic,combined,0.9,0.5021529151635051
logistic,combined,1.0,0.5024088814411395
