model,level,comparison,topk_overlap,spearman,cosine,marc
logistic,feature,window_0_vs_1,1.0,,,
logistic,feature,window_10_vs_11,1.0,,,
logistic,feature,window_11_vs_12,1.0,,,
logistic,feature,window_12_vs_13,1.0,,,
logistic,feature,window_13_vs_14,1.0,,,
logistic,feature,window_14_vs_15,1.0,,,
logistic,feature,window_15_vs_16,0.3,,,
logistic,feature,window_16_vs_17,0.8,0.9054187192118225,0.9802639520637669,2.6206896551724137
logistic,feature,window_17_vs_18,0.8,0.8679802955665022,0.9661221064210432,2.8275862068965516
logistic,feature,window_18_vs_19,1.0,0.9684729064039406,0.9895138594766778,1.5862068965517242
logistic,feature,window_19_vs_20,0.9,0.9847290640394086,0.994838349321225,1.103448275862069
logistic,feature,window_1_vs_2,1.0,,,
logistic,feature,window_20_vs_21,0.9,0.9448275862068963,0.9728124131478475,2.0
logistic,feature,window_21_vs_22,0.9,0.9714285714285712,0.990636336028466,1.5172413793103448
logistic,feature,window_22_vs_23,0.9,0.9285714285714284,0.9970689854103888,1.8620689655172413
logistic,feature,window_2_vs_3,1.0,,,
logistic,feature,window_3_vs_4,1.0,,,
logistic,feature,window_4_vs_5,1.0,,,
logistic,feature,window_5_vs_6,1.0,,,
logistic,feature,window_6_vs_7,1.0,,,
logistic,feature,window_7_vs_8,1.0,,,
logistic,feature,window_8_vs_9,1.0,,,
logistic,feature,window_9_vs_10,1.0,,,
logistic,group,window_0_vs_1,1.0,,,
logistic,group,window_10_vs_11,1.0,,,
logistic,group,window_11_vs_12,1.0,,,
logistic,group,window_12_vs_13,1.0,,,
logistic,group,window_13_vs_14,1.0,,,
logistic,group,window_14_vs_15,1.0,,,
logistic,group,window_15_vs_16,1.0,,,
logistic,group,window_16_vs_17,0.5,0.7714285714285715,0.9570418837413679,1.0
logistic,group,window_17_vs_18,0.5,0.8857142857142858,0.9929508619968577,0.6666666666666666
logistic,group,window_18_vs_19,1.0,1.0,0.9884566234744812,0.0
logistic,group,window_19_vs_20,1.0,1.0,0.9969597392138382,0.0
logistic,group,window_1_vs_2,1.0,,,
logistic,group,window_20_vs_21,1.0,0.942857142857143,0.9903316057676097,0.3333333333333333
logistic,group,window_21_vs_22,1.0,0.942857142857143,0.9926268511022621,0.3333333333333333
logistic,group,window_22_vs_23,1.0,1.0,0.993987516390867,0.0
logistic,group,window_2_vs_3,1.0,,,
logistic,group,window_3_vs_4,1.0,,,
logistic,group,window_4_vs_5,1.0,,,
logistic,group,window_5_vs_6,1.0,,,
logistic,group,window_6_vs_7,1.0,,,
logistic,group,window_7_vs_8,1.0,,,
logistic,group,window_8_vs_9,1.0,,,
logistic,group,window_9_vs_10,1.0,,,
xgboost,feature,window_0_vs_1,1.0,,,
xgboost,feature,window_10_vs_11,1.0,,,
xgboost,feature,window_11_vs_12,1.0,,,
xgboost,feature,window_12_vs_13,1.0,,,
xgboost,feature,window_13_vs_14,1.0,,,
xgboost,feature,window_14_vs_15,1.0,,,
xgboost,feature,window_15_vs_16,0.2,,,
xgboost,feature,window_16_vs_17,0.8,0.863054187192118,0.8099362254142761,3.655172348022461
xgboost,feature,window_17_vs_18,0.8,0.8389162561576353,0.7323462963104248,3.5862069129943848
xgboost,feature,window_18_vs_19,0.9,0.850246305418719,0.9696879386901855,3.379310369491577
xgboost,feature,window_19_vs_20,0.8,0.7847290640394087,0.9636889100074768,3.655172348022461
xgboost,feature,window_1_vs_2,1.0,,,
xgboost,feature,window_20_vs_21,0.7,0.7940886699507387,0.9380443096160889,4.0
xgboost,feature,window_21_vs_22,0.8,0.824630541871921,0.9316604137420654,3.5862069129943848
xgboost,feature,window_22_vs_23,0.8,0.8536945812807879,0.8857958912849426,3.4482758045196533
xgboost,feature,window_2_vs_3,1.0,,,
xgboost,feature,window_3_vs_4,1.0,,,
xgboost,feature,window_4_vs_5,1.0,,,
xgboost,feature,window_5_vs_6,1.0,,,
xgboost,feature,window_6_vs_7,1.0,,,
xgboost,feature,window_7_vs_8,1.0,,,
xgboost,feature,window_8_vs_9,1.0,,,
xgboost,feature,window_9_vs_10,1.0,,,
xgboost,group,window_0_vs_1,1.0,,,
xgboost,group,window_10_vs_11,1.0,,,
xgboost,group,window_11_vs_12,1.0,,,
xgboost,group,window_12_vs_13,1.0,,,
xgboost,group,window_13_vs_14,1.0,,,
xgboost,group,window_14_vs_15,1.0,,,
xgboost,group,window_15_vs_16,0.0,,,
xgboost,group,window_16_vs_17,1.0,0.942857142857143,0.9973576068878174,0.3333333432674408
xgboost,group,window_17_vs_18,1.0,0.8285714285714287,0.9699532389640808,0.6666666865348816
xgboost,group,window_18_vs_19,1.0,0.942857142857143,0.993495762348175,0.3333333432674408
xgboost,group,window_19_vs_20,1.0,0.8857142857142858,0.9894199967384338,0.6666666865348816
xgboost,group,window_1_vs_2,1.0,,,
xgboost,group,window_20_vs_21,1.0,0.8857142857142858,0.9777985215187073,0.6666666865348816
xgboost,group,window_21_vs_22,1.0,0.942857142857143,0.9909055829048157,0.3333333432674408
xgboost,group,window_22_vs_23,1.0,0.942857142857143,0.8515613675117493,0.3333333432674408
xgboost,group,window_2_vs_3,1.0,,,
xgboost,group,window_3_vs_4,1.0,,,
xgboost,group,window_4_vs_5,1.0,,,
xgboost,group,window_5_vs_6,1.0,,,
xgboost,group,window_6_vs_7,1.0,,,
xgboost,group,window_7_vs_8,1.0,,,
xgboost,group,window_8_vs_9,1.0,,,
xgboost,group,window_9_vs_10,1.0,,,
