series,rows,start,end,missing_pct
BHP.AX,2967,2015-01-02,2026-09-18,0.0
CBA.AX,2967,2015-01-02,2026-09-18,0.0
CSL.AX,2967,2015-01-02,2026-09-18,0.0
NAB.AX,2967,2015-01-02,2026-09-18,0.0
WBC.AX,2967,2015-01-02,2026-09-18,0.0
ANZ.AX,2967,2015-01-02,2026-09-18,0.0
WES.AX,2967,2015-01-02,2026-09-18,0.0
RIO.AX,2967,2015-01-02,2026-09-18,0.0
MQG.AX,2967,2015-01-02,2026-09-18,0.0
TLS.AX,2967,2015-01-02,2026-09-18,0.0
^AXJO,2964,2015-01-02,2026-09-18,0.0
^AXVI,2965,2015-01-02,2026-09-18,0.0
RBA_macro,3977,2011-01-04,2026-09-18,11.07
