model,fold,feature,group,kind,mean_abs_prob_delta
xgboost,0,bond_10y,economic_conditions,top,0.01635417900979519
xgboost,0,term_spread,economic_conditions,top,0.03551153838634491
xgboost,0,vix,market_conditions,top,0.013743249699473381
xgboost,0,market_ret,market_conditions,top,0.03261217474937439
xgboost,0,bond_2y,economic_conditions,top,0.005976502783596516
xgboost,0,macd,momentum,bottom,0.010475835762917995
xgboost,0,roc_10,momentum,bottom,0.00933916587382555
xgboost,0,close_ema_12,trend,bottom,0.0060063018463552
xgboost,0,close_sma_10,trend,bottom,0.0050801727920770645
xgboost,0,close_sma_50,trend,bottom,0.005610372871160507
xgboost,1,bond_10y,economic_conditions,top,0.019751153886318207
xgboost,1,term_spread,economic_conditions,top,0.0882200375199318
xgboost,1,vix,market_conditions,top,0.04788738861680031
xgboost,1,market_ret,market_conditions,top,0.06191176548600197
xgboost,1,bond_2y,economic_conditions,top,0.00046319831744767725
xgboost,1,macd,momentum,bottom,0.010672054253518581
xgboost,1,roc_10,momentum,bottom,0.00844621378928423
xgboost,1,close_ema_12,trend,bottom,0.009378746151924133
xgboost,1,close_sma_10,trend,bottom,0.004137356299906969
xgboost,1,close_sma_50,trend,bottom,0.006558194290846586
xgboost,2,bond_10y,economic_conditions,top,0.022911587730050087
xgboost,2,term_spread,economic_conditions,top,0.015546419657766819
xgboost,2,vix,market_conditions,top,0.04053335264325142
xgboost,2,market_ret,market_conditions,top,0.03190768137574196
xgboost,2,bond_2y,economic_conditions,top,0.01842135190963745
xgboost,2,macd,momentum,bottom,0.009606833569705486
xgboost,2,roc_10,momentum,bottom,0.006223305128514767
xgboost,2,close_ema_12,trend,bottom,0.005118858069181442
xgboost,2,close_sma_10,trend,bottom,0.007610375061631203
xgboost,2,close_sma_50,trend,bottom,0.006763662677258253
xgboost,3,bond_10y,economic_conditions,top,0.025103963911533356
xgboost,3,term_spread,economic_conditions,top,0.02653471566736698
xgboost,3,vix,market_conditions,top,0.026392407715320587
xgboost,3,market_ret,market_conditions,top,0.03670986741781235
xgboost,3,bond_2y,economic_conditions,top,0.013056869618594646
xgboost,3,macd,momentum,bottom,0.007559164427220821
xgboost,3,roc_10,momentum,bottom,0.009020011872053146
xgboost,3,close_ema_12,trend,bottom,0.006983314175158739
xgboost,3,close_sma_10,trend,bottom,0.009922868572175503
xgboost,3,close_sma_50,trend,bottom,0.007350224535912275
xgboost,4,bond_10y,economic_conditions,top,0.013627558015286922
xgboost,4,term_spread,economic_conditions,top,0.015204017981886864
xgboost,4,vix,market_conditions,top,0.03753719851374626
xgboost,4,market_ret,market_conditions,top,0.035991962999105453
xgboost,4,bond_2y,economic_conditions,top,0.0037309559993445873
xgboost,4,macd,momentum,bottom,0.006501660216599703
xgboost,4,roc_10,momentum,bottom,0.005605138838291168
xgboost,4,close_ema_12,trend,bottom,0.004590719472616911
xgboost,4,close_sma_10,trend,bottom,0.006119120866060257
xgboost,4,close_sma_50,trend,bottom,0.005431715864688158
