model,fold,n,accuracy,precision,recall,f1,roc_auc,mcc
logistic,0,1200,0.5041666666666667,0.5023148148148148,0.7245409015025042,0.5933014354066986,0.5006902796952214,0.010096549828576088
logistic,1,1200,0.44916666666666666,0.44155844155844154,0.33607907742998355,0.3816651075771749,0.4304224741700954,-0.10171704027612179
logistic,2,1198,0.5125208681135225,0.562874251497006,0.43585780525502316,0.4912891986062718,0.5279062656908754,0.0387979279102455
logistic,3,1200,0.5125,0.5491183879093199,0.6576168929110106,0.5984900480439259,0.501661372183883,-0.009510609737884493
logistic,4,1200,0.5091666666666667,0.5131578947368421,0.763458401305057,0.6137704918032787,0.49778923994875374,0.008275117250892243
logistic,5,1200,0.5275,0.5640718562874252,0.6988130563798219,0.6242544731610338,0.5069022125441437,0.007331697740480966
logistic,6,1200,0.5075,0.5126582278481012,0.662847790507365,0.5781584582441114,0.5038165605661903,0.009694920837422951
logistic,7,1200,0.49416666666666664,0.4883419689119171,0.6400679117147708,0.5540044085231447,0.5010378488325242,-0.006693095431326593
xgboost,0,1200,0.44416666666666665,0.43410852713178294,0.3739565943238731,0.40179372197309415,0.42125394792763315,-0.11301316517198133
xgboost,1,1200,0.4975,0.5025706940874036,0.6441515650741351,0.5646209386281589,0.5031962683809741,-0.008860580647469925
xgboost,2,1198,0.5217028380634391,0.5505464480874317,0.6228748068006182,0.5844815083393764,0.5071767784862145,0.026353546776724003
xgboost,3,1200,0.5133333333333333,0.5534506089309879,0.6168929110105581,0.5834522111269614,0.514252972353531,0.002420532876099551
xgboost,4,1200,0.53,0.5269526952695269,0.7814029363784666,0.6294349540078844,0.5377802357217695,0.05699217772770817
xgboost,5,1200,0.5291666666666667,0.5891980360065466,0.5341246290801187,0.5603112840466926,0.5344236215319697,0.056513108469046676
xgboost,6,1200,0.5125,0.5207006369426752,0.5351882160392799,0.5278450363196125,0.5026633951967189,0.024174841138945816
xgboost,7,1200,0.49833333333333335,0.49364613880742914,0.8573853989813243,0.6265508684863523,0.5002431372766958,0.013526762841179115
