model,stock,n,accuracy,precision,recall,f1,roc_auc,mcc
logistic,ANZ,960,0.521875,0.5622950819672131,0.6411214953271028,0.5991266375545852,0.5088466190214403,0.01329833670001291
logistic,BHP,960,0.49895833333333334,0.5201465201465202,0.5646123260437376,0.5414680648236415,0.5061839031456773,-0.008765100487228417
logistic,CBA,960,0.50625,0.5401929260450161,0.6412213740458015,0.5863874345549738,0.47221006372995306,-0.015367727542097604
logistic,CSL,960,0.48854166666666665,0.4882882882882883,0.5669456066945606,0.5246853823814134,0.4990494626642824,-0.022542698083114262
logistic,MQG,960,0.5239583333333333,0.5263157894736842,0.6924643584521385,0.5980650835532102,0.512109224028244,0.04263241722086375
logistic,NAB,959,0.502606882168926,0.5324459234608985,0.6201550387596899,0.5729632945389436,0.4893213991985581,-0.014591604497914884
logistic,RIO,959,0.4984358706986444,0.5129151291512916,0.5616161616161616,0.5361620057859209,0.5004919888540578,-0.00740872000204259
logistic,TLS,960,0.49270833333333336,0.4458804523424879,0.6571428571428571,0.5312800769971127,0.5133597883597883,0.02276068370566518
logistic,WBC,960,0.484375,0.5182724252491694,0.6034816247582205,0.5576407506702413,0.4748789465181569,-0.0527252109602904
logistic,WES,960,0.503125,0.5400340715502555,0.6049618320610687,0.5706570657065707,0.48218100007003295,-0.014611664548246889
xgboost,ANZ,960,0.5166666666666667,0.5584843492586491,0.6336448598130842,0.5936952714535902,0.49973831775700933,0.0031487033798129433
xgboost,BHP,960,0.509375,0.5255591054313099,0.6540755467196819,0.5828166519043402,0.5048135693497657,0.004388060224394635
xgboost,CBA,960,0.5114583333333333,0.5453047775947282,0.6316793893129771,0.5853227232537578,0.5058258631556831,-0.0013920669738102867
xgboost,CSL,960,0.4979166666666667,0.4965034965034965,0.5941422594142259,0.540952380952381,0.4854294345387941,-0.0034317083911179643
xgboost,MQG,960,0.5,0.5090311986863711,0.6313645621181263,0.5636363636363636,0.491086898935639,-0.0063957727379257935
xgboost,NAB,959,0.5078206465067779,0.5374149659863946,0.6124031007751938,0.572463768115942,0.48514795177349646,-0.0016300429653838924
xgboost,RIO,959,0.49530761209593327,0.5083207261724659,0.6787878787878788,0.5813148788927336,0.5036267850923024,-0.023370785617956656
xgboost,TLS,960,0.49270833333333336,0.4344422700587084,0.5285714285714286,0.47690655209452204,0.49697971781305117,-0.006575611001174577
xgboost,WBC,960,0.5239583333333333,0.5505050505050505,0.632495164410058,0.5886588658865887,0.5044906584698141,0.030572490254116885
xgboost,WES,960,0.503125,0.5418894830659536,0.5801526717557252,0.56036866359447,0.48634795854051405,-0.009392425215678565
