model,feature,group,spearman_value_shap,empirical_direction,expected_sign,matches_theory
logistic,bond_10y,economic_conditions,-0.734556669439666,negative,-1.0,True
logistic,bond_2y,economic_conditions,-0.8891853960385973,negative,-1.0,True
logistic,cash_rate,economic_conditions,0.3529482552596191,positive,-1.0,False
logistic,term_spread,economic_conditions,0.6486452256190123,positive,1.0,True
logistic,market_ret,market_conditions,-0.9796179438038332,negative,1.0,False
logistic,market_rv_21,market_conditions,-0.36726684322144554,negative,-1.0,True
logistic,vix,market_conditions,0.4447549298288824,positive,-1.0,False
logistic,vix_change_5,market_conditions,-0.95378148348199,negative,-1.0,True
logistic,macd,momentum,0.9552030582833713,positive,1.0,True
logistic,macd_hist,momentum,-0.9357087321656523,negative,1.0,False
logistic,macd_signal,momentum,0.9541647419519926,positive,,True
logistic,ret_1,momentum,-0.9886767719343408,negative,,True
logistic,ret_lag_1,momentum,-0.97860833107935,negative,,True
logistic,ret_lag_2,momentum,-0.9682549135489323,negative,,True
logistic,ret_lag_3,momentum,-0.9572786244618032,negative,,True
logistic,ret_lag_5,momentum,-0.06313896151826694,negative,,True
logistic,roc_10,momentum,0.996482234503049,positive,1.0,True
logistic,rsi_14,momentum,0.9289926514790934,positive,1.0,True
logistic,volume_change_5,trading_activity,0.8001259920980803,positive,,True
logistic,volume_ratio_20,trading_activity,-0.970288253352161,negative,,True
logistic,bb_pctb,trend,0.9907963507869191,positive,,True
logistic,close_ema_12,trend,0.9927535861275715,positive,1.0,True
logistic,close_ema_26,trend,0.9287088932308781,positive,1.0,True
logistic,close_sma_10,trend,-0.9769713269385681,negative,1.0,False
logistic,close_sma_20,trend,-0.9939320877412735,negative,1.0,False
logistic,close_sma_50,trend,-0.9739750295051176,negative,1.0,False
logistic,atr_14,volatility,-0.45669987527156525,negative,-1.0,True
logistic,bb_bandwidth,volatility,-0.8603843124285622,negative,-1.0,True
logistic,rv_21,volatility,0.6659908249804111,positive,-1.0,False
xgboost,bond_10y,economic_conditions,0.4372552393232019,positive,-1.0,False
xgboost,bond_2y,economic_conditions,0.42979277427720913,positive,-1.0,False
xgboost,cash_rate,economic_conditions,0.2556613639165019,positive,-1.0,False
xgboost,term_spread,economic_conditions,-0.4156699555078435,negative,1.0,False
xgboost,market_ret,market_conditions,-0.3441790199538766,negative,1.0,False
xgboost,market_rv_21,market_conditions,0.24228862397760723,positive,-1.0,False
xgboost,vix,market_conditions,0.3352840346698451,positive,-1.0,False
xgboost,vix_change_5,market_conditions,-0.007710286676992222,negative,-1.0,True
xgboost,macd,momentum,0.3775862305017292,positive,1.0,True
xgboost,macd_hist,momentum,0.33851199927694153,positive,1.0,True
xgboost,macd_signal,momentum,0.18649936785576182,positive,,True
xgboost,ret_1,momentum,-0.31940980328674173,negative,,True
xgboost,ret_lag_1,momentum,-0.564704123079509,negative,,True
xgboost,ret_lag_2,momentum,-0.474701603918358,negative,,True
xgboost,ret_lag_3,momentum,-0.03900812087344731,negative,,True
xgboost,ret_lag_5,momentum,0.329733514827016,positive,,True
xgboost,roc_10,momentum,0.10017093297669191,positive,1.0,True
xgboost,rsi_14,momentum,0.2978086674339398,positive,1.0,True
xgboost,volume_change_5,trading_activity,-0.12881119485065395,negative,,True
xgboost,volume_ratio_20,trading_activity,-0.19647026697606415,negative,,True
xgboost,bb_pctb,trend,0.18766196026655055,positive,,True
xgboost,close_ema_12,trend,-0.49226977092401164,negative,1.0,False
xgboost,close_ema_26,trend,-0.15706496274046777,negative,1.0,False
xgboost,close_sma_10,trend,-0.566287069423508,negative,1.0,False
xgboost,close_sma_20,trend,-0.6676233256396706,negative,1.0,False
xgboost,close_sma_50,trend,0.18294277075416276,positive,1.0,True
xgboost,atr_14,volatility,0.04165997769755493,positive,-1.0,False
xgboost,bb_bandwidth,volatility,0.034365429286851164,positive,-1.0,False
xgboost,rv_21,volatility,-0.02236246829389452,negative,-1.0,True
