model,rank,feature,mean_abs_shap
xgboost,1,bond_10y,0.12352371960878372
xgboost,2,term_spread,0.09887541085481644
xgboost,3,vix,0.08792746812105179
xgboost,4,market_ret,0.07885807007551193
xgboost,5,bond_2y,0.0772290751338005
xgboost,6,market_rv_21,0.07527896016836166
xgboost,7,vix_change_5,0.06305772066116333
xgboost,8,cash_rate,0.05421830713748932
xgboost,9,macd_signal,0.03556670993566513
xgboost,10,atr_14,0.031961116939783096
xgboost,11,ret_lag_1,0.028018398210406303
xgboost,12,ret_lag_3,0.027620503678917885
xgboost,13,rv_21,0.02720518410205841
xgboost,14,macd_hist,0.02712286449968815
xgboost,15,ret_1,0.02597738802433014
xgboost,16,ret_lag_2,0.024667182937264442
xgboost,17,close_sma_20,0.022686069831252098
xgboost,18,rsi_14,0.01959012635052204
xgboost,19,volume_change_5,0.019079333171248436
xgboost,20,ret_lag_5,0.01879335753619671
xgboost,21,volume_ratio_20,0.01782970316708088
xgboost,22,close_ema_26,0.017679302021861076
xgboost,23,bb_bandwidth,0.017225395888090134
xgboost,24,bb_pctb,0.015347063541412354
xgboost,25,macd,0.015291395597159863
xgboost,26,roc_10,0.014634763821959496
xgboost,27,close_ema_12,0.013413839973509312
xgboost,28,close_sma_10,0.01290970854461193
xgboost,29,close_sma_50,0.01280768308788538
logistic,1,close_sma_20,0.2516796757983409
logistic,2,close_ema_12,0.14888787331239378
logistic,3,close_ema_26,0.12136559945451235
logistic,4,close_sma_10,0.08905435906898712
logistic,5,close_sma_50,0.08300975118651173
logistic,6,roc_10,0.07967306361269272
logistic,7,cash_rate,0.07550923306514092
logistic,8,bb_pctb,0.07235741416154223
logistic,9,market_ret,0.052548958482204734
logistic,10,atr_14,0.03661025452557769
logistic,11,bond_2y,0.035693033096551176
logistic,12,ret_lag_1,0.03382093207226609
logistic,13,bond_10y,0.03272862177429441
logistic,14,vix,0.027343733425721994
logistic,15,vix_change_5,0.025131339420331036
logistic,16,ret_lag_2,0.02097051725051061
logistic,17,volume_ratio_20,0.01923122704621559
logistic,18,ret_lag_3,0.016941744765122793
logistic,19,market_rv_21,0.016516366248799427
logistic,20,rsi_14,0.01557687995186321
logistic,21,ret_1,0.015183125203224145
logistic,22,bb_bandwidth,0.010333964452067834
logistic,23,term_spread,0.008466138938821692
logistic,24,macd_signal,0.008125280324630385
logistic,25,volume_change_5,0.007985434767054272
logistic,26,macd,0.005825841257246024
logistic,27,macd_hist,0.005572643602653896
logistic,28,rv_21,0.005368434260283578
logistic,29,ret_lag_5,0.0029416174812455387
