model,group,mean_abs_group_shap,share_pct,rank
logistic,momentum,0.08114071040729992,28.2,1
logistic,trend,0.07905326341310871,27.48,2
logistic,market_conditions,0.05413380668884401,18.82,3
logistic,volatility,0.03815994132458766,13.26,4
logistic,economic_conditions,0.020101548121806853,6.99,5
logistic,trading_activity,0.015126696842929294,5.26,6
xgboost,economic_conditions,0.21158765256404877,35.380001068115234,1
xgboost,market_conditions,0.16168275475502014,27.040000915527344,2
xgboost,momentum,0.09345951676368713,15.630000114440918,3
xgboost,trend,0.05427587032318115,9.079999923706055,4
xgboost,volatility,0.0473603755235672,7.920000076293945,5
xgboost,trading_activity,0.02961411327123642,4.949999809265137,6
